"alt","caption","commentsCount","dimensionsHeight","dimensionsWidth","displayUrl","firstComment","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","id","likesCount","locationId","locationName","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","ownerFullName","ownerId","ownerUsername","position","productType","queryUsername","shortCode","timestamp","type","url","videoUrl","videoViewCount"
,"Should I make more smoothie recipes?

1/2 banana
1/2 cup frozen blueberries
1 tbsp peanut butter (or a spoonful, you choose)
1 cup coconut milk
1 scoop your favorite protein powder
Collagen powder

Blend & enjoy!
#joinjules #smoothie #smoothierecipes #easyrecipes #healthy #healthyrecipes #morningroutine #morningsmoothie #breakfast #healthysmoothierecipe #easysmoothierecipe #recipe #drink","36","1333","750","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/284575193_838451463798584_3770969103329997854_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=0XGtNldiOooAX9nq3uL&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT99bFcnAynfnFzsYH34UySF68ZEoLN0ZBYEWoVjuEVQNg&oe=6299BFD6&_nc_sid=7bff83","","joinjules","smoothie","smoothierecipes","easyrecipes","healthy","healthyrecipes","morningroutine","morningsmoothie","breakfast","healthysmoothierecipe","easysmoothierecipe","recipe","drink",,,,,"2850463269411229529","1547",,,,,,,,,"8480739993","join_jules","1","clips","join_jules","CeO4T26jg9Z","2022-05-31T18:31:42.000Z","Video","https://www.instagram.com/p/CeO4T26jg9Z/","https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/285207009_1108103619773912_8358651238552700503_n.mp4?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Qn7a1Ddw3YoAX9WXwFj&edm=ABfd0MgBAAAA&ccb=7-5&oe=62999919&oh=00_AT_5tpsEqStXA5x_sy-EoUm9SLn2g2KgU0lKhjPCjw7KEg&_nc_sid=7bff83","16833"
,"The weekend isn’t over, so enjoy it with some white Wine Sangria! I think it’s safe to say it’s officially Sangria season.

Here’s what you’ll need:

1 Bottle of Dry White Wine
1/2 Cup Brandy
2 Tbsp Maple Syrup, or simple syrup
1/4 Cup Peach Puree
Fresh peaches, pitted cherries and strawberries. 
Ice
Soda Water
Garnish: Mint & Peach Slice

In a pitcher add all ingredients and refrigerate for at least 2 hours. 
Add ice to pitcher and serve. 
To serve, add ice to a glass and fill 3/4 of the way full with sangria. 
Top with soda water and garnish. 

Xoxo, cheers!
#joinjules #whitewine #sangria #whitewinesangria #sangriawine #wine #summer #summerdrinks #cocktail #cocktailrecipes #drink #drinkrecipe #brandy #easyrecipes #batch #batchcocktails","53","1333","750","https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/284828775_346403830926833_1662121121619644157_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=fmXpoSa9TlYAX8jXxw8&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT-Ljp8ZF97_M_glyI9INEv4fOmnhKXicV8-g-lMG7R-rA&oe=62999DAF&_nc_sid=7bff83","","joinjules","whitewine","sangria","whitewinesangria","sangriawine","wine","summer","summerdrinks","cocktail","cocktailrecipes","drink","drinkrecipe","brandy","easyrecipes","batch","batchcocktails",,"2849715988858281471","4917",,,,,,,,,"8480739993","join_jules","2","clips","join_jules","CeMOZfqph3_","2022-05-30T17:46:48.000Z","Video","https://www.instagram.com/p/CeMOZfqph3_/","https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/285490415_712179560006290_4632032574486329408_n.mp4?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=3EE0c0AVegoAX-HPead&edm=ABfd0MgBAAAA&ccb=7-5&oe=6299C6D1&oh=00_AT_GaKlP5TZNBQmgZ081ry7-_WEfnkvk_uHcCcJy9zPFHg&_nc_sid=7bff83","42704"
,"Let’s make the drink of the summer! Yes, it’s true they are saying the drink of the summer is the Dirty Shirley. But who is they anyway?

I personally believe blended drinks will be the winner this summer but who knows, maybe it is the dirty Shirley. What do you think the drink of the summer is?

Let’s first make a dirty Shirley to help us decide:
1 oz Grenadine, I prefer cherry juice instead but up to you!
2 oz Vodka
7-8 oz Lemon Lime Soda (y’all know I hate soda so I use @zevia when soda is needed!)
Ice
Garnish: cherry on top!

Add all ingredients into a glass filled with ice. 
Mix together to chill completely. 
Garnish & enjoy!

Xoxo, cheers
#joinjules #vodka #vodkacocktails #dirtyshirley #summer #summerdrinks #recipe #easyrecipe #drink #summerrecipes #weekend #weekendvibes #cherry #alcohol","70","1333","750","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/284572591_747690176251327_170996790400289872_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=zjwnviFMV9oAX-2KkEx&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT8mPxNByTYd0Uj-fyJiu2VKfkn2C_6uY9-pD_IfBrF3jg&oe=629974B8&_nc_sid=7bff83","","joinjules","vodka","vodkacocktails","dirtyshirley","summer","summerdrinks","recipe","easyrecipe","drink","summerrecipes","weekend","weekendvibes","cherry","alcohol",,,,"2848999857000485835","8233",,,"zevia",,,,,,"8480739993","join_jules","3","clips","join_jules","CeJrkZ5pxPL","2022-05-29T18:05:06.000Z","Video","https://www.instagram.com/p/CeJrkZ5pxPL/","https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/284274023_535393201577390_934666783653348707_n.mp4?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=5I7EDS9USYUAX_CQt_K&edm=ABfd0MgBAAAA&ccb=7-5&oe=6299C698&oh=00_AT8ISY6QiHvynx3AXgXyP8MbBhX0Dcv59QLR1fHb5MZdOw&_nc_sid=7bff83","59905"
,"Another easy weekend cocktail, Peach Bourbon Slush! I’m on a blended kick, can’t you tell?

But seriously, I think blended drinks are so fun and easy to make and they don’t have to be super sugary like we associate most blended drinks (I’m using @beasthealth here). I also wanted to give my bourbon lovers some love with this one. Use what’s fresh and it tastes that much better!

Let’s get into it
1 Peach or Nectarine Chopped, Frozen is preferred 
2 oz Bourbon
1 oz Fresh Lemon Juice
2 tsp Honey
Optional: 1-2 sprigs Fresh Mint
Garnish: Lemon wheel and mint
Ice, if not using frozen fruit

In a blender add all ingredients, including mint if you’re using. 
Blend together until smooth. 
Pour into a glass and enjoy!

Xoxo, cheers!

Mashup is by: @veggibeats 🔥
#joinjules #bourbon #whiskey #bourbonwhiskey #summerdrinks #memorialday #cocktail #cocktailrecipes #drink #drinkrecipe #easyrecipe #weekend #blended","62","1333","750","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/284321339_546507286992243_1825013708433293959_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=EZkj_okqCPcAX-PjI6k&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT9F66r831XQQqU16BsmVCRwSmGLxZFZCSMS6CeQcyVeuw&oe=62997CF3&_nc_sid=7bff83","","joinjules","bourbon","whiskey","bourbonwhiskey","summerdrinks","memorialday","cocktail","cocktailrecipes","drink","drinkrecipe","easyrecipe","weekend","blended",,,,,"2848224701930326614","7671",,,"beasthealth","veggibeats",,,,,"8480739993","join_jules","4","clips","join_jules","CeG7UafDMpW","2022-05-28T16:26:11.000Z","Video","https://www.instagram.com/p/CeG7UafDMpW/","https://scontent-frt3-2.cdninstagram.com/v/t50.2886-16/283550155_171058132019127_426245453977594244_n.mp4?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=bSwoYhGZOiYAX_jLn3J&edm=ABfd0MgBAAAA&ccb=7-5&oe=6299CFDD&oh=00_AT8LHlxBhOEe_aKSEkQqogjlLJvKh4P6mZdJYDPZdEJfHg&_nc_sid=7bff83","48515"
,"Have you had an Irish coffee before? Better question, have you had an Irish coffee from the Buena Vista in San Francisco?

If you haven’t, this is your sign to do both! It truly is a sight to be seen visiting the Buena Vista and seeing the amount of Irish Coffees being made daily. 

A little history - the Buena Vista Cafe in San Francisco introduced the Irish coffee to the US back in 1952. Jack Koepoler, the then owner of the Buena Vista, was on an international flight home and was rerouted and served the “Irish Coffee"" created by Joe Sheridan at the Shannon Airport in Ireland. Determined to get this recipe right, Koepoler had to find the right whiskey, measurements and of course cream. The cream was aged for 48 hours and frothed perfectly to float to the top. Once the recipe was perfected, the rest is history. They still serve the same recipe to this day. It truly is an experience to be had.

Next time you’re in San Francisco, put this on your list!

Xoxo, cheers
#joinjules #sanfrancisco #buenavista #irishcoffee #coffee #whiskey #irishwhiskey #coffeerecipes #sf #sanfranciscolife #drink #drinkrecipe #cocktail #classiccocktails #imbibe #imbibegram","128","1333","750","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/284339063_959346411404875_1016565357496247781_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=pTr5Jxe0cUcAX-P3Ccz&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT8eaUvqW-BUzAO8wHShcEBLLGVSRvBxdb67JE0thH2W5A&oe=6299A3BF&_nc_sid=7bff83","","joinjules","sanfrancisco","buenavista","irishcoffee","coffee","whiskey","irishwhiskey","coffeerecipes","sf","sanfranciscolife","drink","drinkrecipe","cocktail","classiccocktails","imbibe","imbibegram",,"2847568606752810964","3974","135175309977909","Buena Vista Cafe",,,,,,,"8480739993","join_jules","5","clips","join_jules","CeEmI-PDifU","2022-05-27T18:50:36.000Z","Video","https://www.instagram.com/p/CeEmI-PDifU/","https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/283872282_736177594222697_5212442657435778275_n.mp4?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Sgt9SCF1KSIAX8BSxXl&edm=ABfd0MgBAAAA&ccb=7-5&oe=62995FF1&oh=00_AT9hg5ozgTASd0x6h6wu3QF3QMPBd9yK8Nq_6BSKVPlmqA&_nc_sid=7bff83","60881"
,"Did someone say it’s already the weekend? You didn’t think I forgot about you all did you? Here’s recipe number 1 of 3 for this holiday weekend and let me tell you this one is easily my favorite!

Simple Ingredients so make sure to get everything you need to be sipping these all weekend (and summer) long. Doubling the recipe is encouraged (you’ll want to share and make more than one)

Here’s what you’ll need:
For 1:
1/2 Cup frozen strawberries 
1/2 Cup Frozen pineapple chunks
2 oz Vodka
1 oz Aperol
3/4 oz Lime Juice
1/2 oz simple syrup
Garnish: strawberries & fresh mint

In a blender add all ingredients and blend until smooth. 
Pour into your favorite glass, garnish & enjoy!

Xoxo, cheers!
#joinjules #vodka #frozendrink #strawberry #memorialdayweekend #memorialday #cocktail #drink #drinkrecipe #summerdrinks #recipe #easyrecipes #blended","67","1333","750","https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/283839388_1087025461886387_3612007223549251866_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=iZna7FitNjEAX_jnUTA&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT9j-jZP6BKHhZQKSS6n5VdOFWWhzXyR3Ct55ewfCs8cdQ&oe=6299C6B2&_nc_sid=7bff83","","joinjules","vodka","frozendrink","strawberry","memorialdayweekend","memorialday","cocktail","drink","drinkrecipe","summerdrinks","recipe","easyrecipes","blended",,,,,"2847486217955333501","5926",,,,,,,,,"8480739993","join_jules","6","clips","join_jules","CeETaDsDFV9","2022-05-27T15:59:28.000Z","Video","https://www.instagram.com/p/CeETaDsDFV9/","https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/284867420_416919180017771_1268095358418191251_n.mp4?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Rs_v1u9b5z0AX8ksbTP&edm=ABfd0MgBAAAA&ccb=7-5&oe=6299F748&oh=00_AT9qC7DfVHFhNP5wtwY69UjtDsOfSFCMaE5SDNyro38iyg&_nc_sid=7bff83","47559"
,"Looking for a signature cocktail? Try this Coconut Margarita, it’s been my go to since last summer. It hasn’t failed me yet!

I like to sub tequila for Mezcal here but really the choice is up to you! When using coconut make sure to use real coconut milk and not coconut cream. The coconut cream has so much sugar so just try to use the best coconut milk your local store has to offer!

3/4 oz fresh lime juice
1/2 oz Agave syrup
1 oz Coconut Milk
3/4 oz Cointreau
2 oz Mezcal
Ice
Garnish: Tajin, lime wheel, edible flowers

Add all ingredients into a cocktail shaker and shake. 
Strain into a glass filled with ice and rimmed with Tajin. 
Garnish & enjoy!

Xoxo, cheers 
#joinjules #margarita #margaritas #coconut #coconuts #summerdrinks #drink #drinkrecipe #recipes #cocktail #tequila #mezcal #easyrecipes #drinkstagram","71","1333","750","https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/283392358_183857560652638_5837347385480291287_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=hI3pOOAcgcgAX8k-zLY&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT-ND99TdrJ8NZzXEdklffs-YHFPqpHLSZg3UDC977M_5Q&oe=6299BBD7&_nc_sid=7bff83","","joinjules","margarita","margaritas","coconut","coconuts","summerdrinks","drink","drinkrecipe","recipes","cocktail","tequila","mezcal","easyrecipes","drinkstagram",,,,"2843949862226893155","5058",,,,,,,,,"8480739993","join_jules","7","clips","join_jules","Cd3vVTxDhlj","2022-05-22T18:52:17.000Z","Video","https://www.instagram.com/p/Cd3vVTxDhlj/","https://scontent-frx5-1.cdninstagram.com/v/t50.2886-16/10000000_1914913892031299_6725998979950597223_n.mp4?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=2Lw5ATIzGckAX-XJCf1&edm=ABfd0MgBAAAA&ccb=7-5&oe=629991EF&oh=00_AT-xZm7XeI5k3OBnyKpVZFrZCjZbp1PqE740PEavEMWj8w&_nc_sid=7bff83","40721"
,"#ad I’m here in Los Angeles with @donjuliotequila at the Eeeeatscon festival and you know where to find me… at their cocktail bar! 

This year Tequila Don Julio is hosting a tasting bar alongside Mexico City restaurant @cicatriz.cdmx This event is happening today May 21st and tomorrow the 22nd so make sure to stop by for a delicious cocktail and join in on the fun.

There are three signature cocktails:

The Yoko: Tequila Don Julio Blanco, fresh grapefruit juice, Italian aperitif, & sparkling wine!

The Margareeeeta: Tequila Don Julio Blanco, Fresh lime juice, and jalapeño infused agave.

Blanco & soda

which would you try first? 
(Clearly I’m a margarita gal but will be trying the Yoko next!)

@donjuliotequila @infatuation 
#margarita #tequila #cocktail #cocktailbars #losangeles #eeeeeatscon #drinks #joinjules","11","1350","1080","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/281197692_1134408010740954_6440428591646470938_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=l-_6YRgicysAX-TbTFI&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT_4EMKODimmMpcjISYBgaUjJJ-9JMDuXos9AzXdb0737g&oe=629E17B8&_nc_sid=7bff83","","ad","margarita","tequila","cocktail","cocktailbars","losangeles","eeeeeatscon","drinks","joinjules",,,,,,,,,"2843281055736069677","843",,,"donjuliotequila","cicatriz.cdmx","infatuation",,,,"8480739993","join_jules","8",,"join_jules","Cd1XQ5Lvv4t","2022-05-21T20:38:56.000Z","Image","https://www.instagram.com/p/Cd1XQ5Lvv4t/",,
,"Looking for a foolproof cocktail to impress your guests this weekend? You need to make The Last Word

This is by far one of my favorite cocktails. It is the definition of balance. Equal parts for this one too! It truly is hard to mess this one up. Want to up your game? Sub the gin for Mezcal, total game changer. 

Here we go:
3/4 oz fresh lime juice, if it’s not fresh I don’t want it
3/4 oz gin
3/4 oz Maraschino liqueur
3/4 oz green chartreuse
Ice
Garnish: lime wheel or Luxardo cherry 

Add all ingredients into a cocktail shaker with ice. 
Shake and double strain into a chilled coupe glass. 
Garnish & enjoy the best cocktail ever. 

Xoxo, cheers!
#joinjules #classiccocktails #classicrecipe #recipe #easyrecipes #cocktails #gin #gincocktail #maraschino #chartreuse #drink #drinkrecipe","30","1333","750","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/283148408_746727596689902_2518569234957524417_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=ll4PXdsjdLkAX_zNOeP&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT_ejFIMO4UcsjJoSPZoNuIJbItWfE3pXVP5C68Xyv66fA&oe=62995936&_nc_sid=7bff83","","joinjules","classiccocktails","classicrecipe","recipe","easyrecipes","cocktails","gin","gincocktail","maraschino","chartreuse","drink","drinkrecipe",,,,,,"2842639635376429066","3908",,,,,,,,,"8480739993","join_jules","9","clips","join_jules","CdzFa_7DtgK","2022-05-20T23:27:43.000Z","Video","https://www.instagram.com/p/CdzFa_7DtgK/","https://scontent-frx5-2.cdninstagram.com/v/t50.2886-16/283109986_518214256668033_8246913248097496646_n.mp4?_nc_ht=scontent-frx5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=LmMtCwVFcPIAX9POaqK&edm=ABfd0MgBAAAA&ccb=7-5&oe=6299ED82&oh=00_AT_fJqNrbLAf4k96LAYIesu3sGi0L3a8pJ-9SBF1K3ZRYg&_nc_sid=7bff83","41115"
,"This is my go to cocktail when I’m low on ingredients or just need an easy cocktail to make: The Whiskey Sour

This 4 ingredient cocktail is too good (it’s a classic for a reason) it has yet to let me down. But have you noticed a trend? There’s many similarities with the whiskey sour (the Daiquiri, the margarita) they all have similar measurements of spirit, citrus, and sweetness? See… once you know a classic you truly can use this formula for so many other cocktails! If you want something different, you can always try an Amaretto sour too 😉

Let’s get into this one:
2 oz Bourbon, or whiskey (All bourbon is whiskey but not all whiskey is bourbon)
3/4 oz Lemon Juice, freshly squeezed obvi
1/2 oz simple syrup
1 egg white
Angostura bitters
Ice
Garnish: citrus wheel or Luxardo cherries

In a cocktail shaker add bourbon, simple syrup, lemon juice, and egg white. 
Don’t add ice rather give it a dry shake, about 15 seconds. 
Add ice and shake again, about 30 seconds. 
Double strain into a rocks glass (you can add ice if you’d like) or a chilled coupe glass. 
Garnish & enjoy this classic cocktail!

Xoxo, cheers
#joinjules #classic #classiccocktails #cocktail #cocktailrecipes #drink #drinkrecipe #bourbon #whiskey #imbibegram #whiskeysour #eggwhite #recipe #easyrecipes","75","1333","750","https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/283099022_156186753576802_6724445599273641990_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=FJUaJ13JZ5AAX-VK2wm&edm=ABfd0MgBAAAA&ccb=7-5&oh=00_AT-8V_mJHj31EbD3BonvSCstDlvegw0FQYaLUPRMzNoyAA&oe=6299B5BF&_nc_sid=7bff83","","joinjules","classic","classiccocktails","cocktail","cocktailrecipes","drink","drinkrecipe","bourbon","whiskey","imbibegram","whiskeysour","eggwhite","recipe","easyrecipes",,,,"2841693420543486223","4734",,,,,,,,,"8480739993","join_jules","10","clips","join_jules","CdvuRwsDykP","2022-05-19T16:10:51.000Z","Video","https://www.instagram.com/p/CdvuRwsDykP/","https://scontent-frt3-1.cdninstagram.com/v/t50.2886-16/10000000_420986612814439_2465184375950290834_n.mp4?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=c1Zy0JZuwVMAX947Q6r&edm=ABfd0MgBAAAA&ccb=7-5&oe=6299890D&oh=00_AT9H8nkWVm6iEza8Xx6zZB-5sMjWI7A9zOfLW-jJRrBSqQ&_nc_sid=7bff83","42021"
