Date,Ingredients
2020-05," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,¼ cup gin,2 Tbsp. tonic syrup, such as Jack Rudy,1 cucumber slice (optional, for garnish),Combine gin, tonic syrup, and 1 cup ice in a blender and blend until smooth. Pour into serving glass and garnish with cucumber if desired.,These slushy frozen cocktails are all about fresh fruit and big flavors, not bottled mixes.,Ribs, grilled chicken, and corn galore.,Make your summer better with recipes for breezy side dishes, desserts, cocktails, grilled mains, and simple weeknight dinners.,Cool off—and get a little tipsy—with these refreshing summer favorites.,Whether you like your gin drinks bracing and boozy or light and refreshing, stirred or shaken, frozen or fizzy, there’s a recipe here for you.,Make dad drinks, not dad jokes."
2022-03," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,May 2003 Issue,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,1 oz (2 tablespoons) dark rum,1 oz (2 tablespoons) aged rum,2 tablespoons fresh orange juice,½ oz (1 tablespoon) Cointreau or triple sec,1 tablespoon fresh lime juice,1 teaspoon orgeat syrup or 1 drop pure almond extract,1 teaspoon superfine granulated sugar,Dash of grenadine,Garnish: an orange slice,Shake all ingredients in a cocktail shaker with 1 cup ice cubes, then strain into an old-fashioned glass filled with ice cubes.,Can you guess the most popular recipe on Epicurious?,Cool off—and get a little tipsy—with these refreshing summer favorites.,Light the torches. Lay on the leis. It's tiki time."
2021-03," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,2 strawberries, hulled,½ oz. (15 ml) 1:1 simple syrup (see headnote),2 oz (60 ml) bourbon,¾ oz (22 ml) fresh lemon juice,2 dashes Angostura bitters,3 oz (90 ml) ginger beer,Strawberry, to garnish,Gently muddle the strawberries with the Simple Syrup in a cocktail shaker. Add the bourbon, lemon juice, and Angostura bitters, then fill with ice and shake vigorously for 10–15 seconds. Double strain into a highball glass filled with fresh ice and top with the ginger beer. Garnish with a fresh strawberry.,Reprinted fromSpirited: Cocktails from Around the World, by Adrienne Stillman. © 2020 Phaidon Press
Buy the full book fromAmazon.,Celebrate the warmer weather with these refreshing spring drinks.,There are many, many ways to enjoy whiskey season.,Cool off—and get a little tipsy—with these refreshing summer favorites."
2020-07," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,1⅓ cups chilled mezcal,1⅓ cups chilled Lillet blanc,⅔ cup chilled 1:1 simple syrup (see Note),2¼ teaspoons celery bitters,¾ cup plus 2 tablespoons water,1⅓ cups fresh celery juice (from about 12 celery stalks),1 cup fresh lemon juice,Garnish: Smoked sea salt and thinly sliced lemon wheels,Up to 1 day before serving, make the batch. Pour chilled mezcal, chilled Lillet blanc, chilled simple syrup, celery bitters, and water into a 2-quart pitcher and stir to mix. Seal well, covering with plastic wrap if needed, and refrigerate.,Up to 2 hours before serving, prepare celery and lemon juices and stir into pitcher mix. Reseal and return to refrigerator if not serving immediately.,To serve, stir mixture well. Place a large ice cube in each rocks glass, then pour in cocktail and garnish with a small pinch of smoked salt and a lemon wheel, if desired.,FromBatch Cocktails: Make-Ahead Pitcher Drinks for Every Occasion© 2019 by Maggie Hoffman. Reprinted by permission of Ten Speed Press.
Buy the full book fromAmazon.,Celebrate the warmer weather with these refreshing spring drinks.,Cool off—and get a little tipsy—with these refreshing summer favorites.,Not that there's anything wrong with a simple snack.,Make better cocktails at home by cracking open a bottle of mezcal."
2020-11," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,2 ounces chinotto soda, such asSan PellegrinoorLurisia,1½ ouncesred verjus,1 ounce soda water,1 orange twist, for garnish,1 green pitted olive, for garnish,Fill a spritz or wine glass with 2 or 3 ice cubes. Add the chinotto, red verjus, and soda water and stir gently. Garnish with the orange twist and olive.,Fill a pitcher with ice. Add 1½ cups chinotto, 1 cup plus 2 tablespoons verjus, and 3⁄4 cup soda water. Gently stir, then divide among 6 wine glasses. Garnish each with an orange slice and an olive.,Excerpted fromGood Drinks: Alcohol-Free Recipes for When You're Not Drinking for Whatever Reasonby Julia Bainbridge, copyright © 2020. Published by Ten Speed Press, an imprint of Penguin Random House. Photography copyright: Alex Lau © 2020.
Buy the full book fromAmazonorBookshop.,Celebrate the warmer weather with these refreshing spring drinks.,Whether served with hors d’oeuvres or sipped post-pie, these seasonal cocktail recipes make for a more festive holiday.,Cool off—and get a little tipsy—with these refreshing summer favorites.,Fresh spring cocktails that are easy to make at home.,Taking a break from booze? You can still make great drinks.,These recipes for spiked hot chocolate, crowd-pleasing punches, festive Champagne cocktails, and more will bring the holiday spirit.,Two booze-free recipes—and more suggestions—from the author of *Good Drinks: Alcohol-Free Recipes for When You’re Not Drinking for Whatever Reason.*"
2022-03," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,1½ ounces cream of coconut (such as Coco Lopez),1½ ounces pineapple juice,1 ounce aged rum,1 ounce coconut rum,Splash of coconut milk (optional),Pineapple wedge, for garnish,Combine all the ingredients in a blender cup. Add 1 cup of ice. Blend on High until smooth. Pour into a hurricane glass, goblet, or tall glass. Garnish with the pineapple wedge.,Reprinted with permission from the publisher, Houghton Mifflin Harcourt, from101 Tropical Drinksby Kim Haasarud. Copyright 2013. Buy the full book fromAmazonorThrift Books.,These slushy frozen cocktails are all about fresh fruit and big flavors, not bottled mixes.,This make-ahead method is the best way to make frozen cocktails at home.,Cool off—and get a little tipsy—with these refreshing summer favorites.,Yes, you can add it to fruit salad. But there’s more to pineapple than that.,Including cakes, cream pies, and drinks both boozy and refreshing.,Rich, versatile canned coconut milk plays a central role in many curries—but that's just the beginning of what this pantry superstar can do.,Whether it's served for dinner, drinks, breakfast, or dessert, pineapple will brighten any meal.,Light the torches. Lay on the leis. It's tiki time.,How to make like Laura Ingalls Wilder during that long winter."
2017-07," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,4 navel oranges, halved,Kosher salt (optional),1 lime, cut into 6 wheels,1 1/4 cups añejo tequila,6 tablespoons fresh lime juice (from about 2 limes),Pour salt onto a small plate, if using. Rub rim of an old-fashioned or rocks glass with lime wheel, then dip into salt.,Stir orange juice, tequila, lime juice, and 8 cups ice in a pitcher. Divide cocktails among glasses and garnish with lime wheels.,Ribs, grilled chicken, and corn galore.,Cool off—and get a little tipsy—with these refreshing summer favorites.,A curated list of the best grilling recipes for your Memorial Day cookout.,Tequila is just the beginning.,Make dad drinks, not dad jokes.,37 tequila drinks to make at home.,From smoky, chile–laced enchiladas to creamy, coffee-spiked desserts, these are the Mexican (and Mexican-inspired) recipes we keep coming back to.,Waited until the last minute to plan your cookout menu? Don't panic. Labor Day is all about casual, grillable eats that you can throw together easily.,Chinese barbecue, Greek shrimp, and nine more recipes you need to kick back and relax this weekend."
2017-06," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,8 black tea bags, preferably English breakfast,5 tablespoons sugar,3 1/2 cups store-bought or homemade lemonade, divided,1 cup vodka, divided,Lemon wheels (for garnish),Special Equipment,4 ice cube trays,Bring 3 1/2 cups water to a boil in a medium saucepan. Remove from heat and add tea bags and sugar. Let steep 4 minutes. Discard tea bags and let cool slightly (you should have about 3 1/2 cups tea).,Divide 3 cups tea between 2 ice cube trays; chill remaining 1/2 cup tea. Divide 3 cups lemonade between remaining 2 ice cube trays; chill remaining 1/2 cup lemonade. Freeze until solid, 3–4 hours.,Blend lemonade ice cubes, 1/2 cup vodka, and 1/2 cup lemonade in a blender until smooth. Transfer to a spouted liquid measuring cup or pitcher. Rinse blender jar and add tea ice cubes and remaining 1/2 cup tea and 1/2 cup vodka; blend until smooth.,Tilt a large glass to one side and fill halfway with lemonade mixture. While slowly returning glass to upright position, pour in frozen tea mixture to fill glass and create a swirl. Garnish with lemon wheels.,Ice cubes can be made 3 months ahead. Transfer to resealable plastic bags and keep frozen.,Pucker up for these lemony sweets.,Variations on the Bloody Mary and the Martini? Yes. But lots more, too.,These slushy frozen cocktails are all about fresh fruit and big flavors, not bottled mixes.,Ribs, grilled chicken, and corn galore.,Cool off—and get a little tipsy—with these refreshing summer favorites.,Pucker up—these recipes put lemon front and center.,Make dad drinks, not dad jokes.,Discover game-day food to fuel your favorite fans.,Grilled corn? Check. Sweet berries? Check. Ripe Tomatoes? Big check."
2020-01," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,2 ounces Letherbee gin,2 ounces sweet vermouth,2 ounces Luxardo Bitter,1 1⁄2 ounces fresh grapefruit juice,1 1⁄2 ounces fresh orange juice,1 1⁄2 cups crushed ice,Garnish: frozen orange half wheels,Put all the ingredients in a blender and process at high speed, stopping occasionally to stir the ingredients together. Continue blending at high speed, adding more crushed ice to achieve the desired consistency. Serve garnished with the frozen orange half wheels.,Reprinted with permission fromThe NegroniCopyright 2013, 2015 by Gary Regan. Photographs © 2015 by Kelly Puleio. Published by Ten Speed Press, an imprint of Penguin Random House LLC.
Buy the full book fromAmazon.,Cool off—and get a little tipsy—with these refreshing summer favorites.,Whether you like your gin drinks bracing and boozy or light and refreshing, stirred or shaken, frozen or fizzy, there’s a recipe here for you."
2021-03," visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,To revisit this recipe, visit My Account, thenView saved recipes.,2 oz. (60 ml) gin,1 oz. (30 ml) fresh lime juice,¾ oz. (22 ml) simple syrup (1:1, see headnote),8–10 fresh mint leaves,2 dashes Angostura bitters (optional),Mint leaf, to garnish,Combine all the ingredients in a cocktail shaker filled with ice and shake vigorously for 15–20 seconds, or until frosted on the outside. Double strain into a coupe. Garnish with a mint leaf.,For an East Side, muddle a few cucumber slices with the mint and garnish with a fresh cucumber slice.,Substitute vodka or tequila for the gin.,Serve in a highball glass over fresh ice and top with club soda.,Add 1–2 dashes of absinthe to make the French Pearl cocktail.,Reprinted fromSpirited: Cocktails from Around the World, by Adrienne Stillman. © 2020 Phaidon Press
Buy the full book fromAmazon.,Celebrate the warmer weather with these refreshing spring drinks.,Cool off—and get a little tipsy—with these refreshing summer favorites.,Fresh spring cocktails that are easy to make at home.,Whether you like your gin drinks bracing and boozy or light and refreshing, stirred or shaken, frozen or fizzy, there’s a recipe here for you."
