Date,Ingredients
2019-03,"Watershed Kitchen and Bar, Columbus, Ohio,Photo:Greg Davis,March 26, 2019,A delicious twist on the Piña Colada.,ThePiña Coladacocktail gets a modern twist with barrel-aged gin and a banana coconut syrup at Watershed Distillery’s Kitchen and Bar in Columbus, Ohio.,Share this recipe:,Combine all ingredients in a shaker tin and shake to chill. Strain over crushed ice. Garnish with a mint bouquet and dehydrated banana.,Banana Coconut Syrup: Toast 2 cups of unsweetened coconut flakes until fragrant, then add 1½ cups of coconut milk and 1 cup of white sugar. Stir until dissolved and strain out the solids. Add 1 oz. of Giffard banana liqueur and shake to combine.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 1¼ oz. barrel-aged gin (Gandee uses Watershed barrel-aged gin),¾ oz. rum (Gandee uses Hamilton Demerara),¼ oz. fresh lemon juice,1 oz. banana coconut syrup,Tools:shaker, strainer,Glass:collins,Garnish:mint bouquet, dehydrated banana"
2019-01,"January 14, 2019,While looking for a cocktail to match the cuisine at Pammy’s in Cambridge, bar manager Rich Andreoli turned to Giuseppe Gonzalez’s Infante, a combination of tequila, orgeat, lime and orange blossom water. In this riff, Andreaoli tweaks the ratios and combines reposado tequila and lime with a housemade hazelnut orgeat (instead of almond-based orgeat). “The finishing touch is rose water to complement the floral tequila, and nutmeg to give it an added layer of complexity and spice,” he says.,2 oz. reposado tequila1 oz. hazelnut orgeat½ oz. fresh lime juiceSpritz of rose waterTools: shaker, strainerGlass: double Old FashionedGarnish: freshly grated nutmeg,Add the first 3 ingredients to a shaker with ice, then shake to combine. Strain into an ice-filled glass. Spritz with rose water and garnish.,Hazelnut Orgeat: Add ¼ qt. of hazelnuts to a blender and pulse until ground, about 10-20 seconds. Remove from the blender and set them aside. Pulse another ¼ qt. of hazelnuts until ground, then spread both batches of ground hazelnuts on a baking sheet and toast at 350 degrees F for 5 minutes. Once toasted, add the hazelnuts to a medium pot with ½ qt. of sugar and ½ qt. of water. Bring the mixture to a simmer, then remove from the heat. Place in a sealable container overnight to steep. The next day, strain the mixture through a cheese cloth-lined chinois. Add 10 drops of orange blossom water and ⅛ oz. of hazelnut oil. Store refrigerated for up to 2 weeks, fortifying with an ounce of Cognac if you’d like.,Rich Andreoli,Pammy’s, Cambridge, Massachusetts,Did you enjoy this recipe?Sign upfor our newsletter and get our favorite drink recipes of the moment in your inbox every month.,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
2019-03,"March 06, 2019,The richness of orgeat meets the bright bitterness of Campari and lemon in this drink fromThe Chestnut Clubin Santa Monica.,1 oz. gin1 oz. Campari1 oz. fresh lemon juice¾ oz. orgeatTools: shaker, strainerGlass: CollinsGarnish: orange wheel,Combine all the ingredients in a shaker and add a single ice cube. Shake to combine, then strain into a glass filled three-quarters with ice cubes. Top with crushed ice and garnish.,Raul Yrastorza forThe Chestnut Club, Los Angeles,Did you enjoy this recipe?Sign upfor our newsletter and get our favorite drink recipes of the moment in your inbox every month.,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
2019-08,"August 29, 2019,Two French liqueurs give this robust tequila cocktail fromHalifaxan equally bold aroma.,1 oz. blanco tequila1 oz. dry vermouth½ oz. mezcal½ oz. Bénédictine1 tsp. yellow Chartreuse2 dashes orange bittersTools: barspoon, strainerGlass: coupeGarnish: lime twist,Stir all the ingredients with ice, then strain into a chilled glass. Twist a lime peel over the drink and use as a garnish.,Keegan McGregor,Field Guide, Halifax, Nova Scotia,,Did you enjoy this recipe?Sign upfor our newsletter and get weekly recipes and articles in your inbox.,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
2019-01," Bay City, Michigan,Photo:Julia Ross,January 16, 2019,Bitter Campari and rich Jamaican rum play with a fruity symphony of pineapple and strawberry in this recipe from The Public House.,Share this recipe:,Shake all of the ingredients with ice. Strain into a rocks glass with one large cube. Garnish.,Strawberry Syrup: Cut up 1 quart of fresh strawberries and combine them with 1 quart of sugar. Lightly crush the strawberries to express them into the sugar. Let the mixture sit for 24 hours then combine with 1 quart of hot water. Stir the mixture until it has dissolved, then strain it into a container.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 3/4 oz. Jamaican rum,1/2 oz. Campari,3/4 oz. strawberry syrup,3/4 oz. pineapple juice,6 drops absinthe,Tools:shaker, strainer,Glass:rocks,Garnish:pineapple frond"
2019-03,"March 08, 2019,The Garibaldi cocktail, a favorite at Dante in New York, is elegantly simple, but the secret to its appeal lies in the quality of the orange juice and the preparation technique. Use the freshest oranges available (Dante typically uses Valencia, but they also use other varieties that are in season) and press the fruit immediately before serving; Dante uses a household Breville juicer, which yields an especially frothy foam.,1½ oz. CampariJuice of 1 orange (approximately 4 oz.)Tools: juicer, barspoonGlass: 8 oz. tumblerGarnish: orange wedge,Place 2 ice cubes in a tumbler and add the Campari. Press the orange and add half of the juice; stir to combine, then add another ice cube and the remainder of the orange juice. Garnish.,Adapted by Naren Young,Dante, New York City,Did you enjoy this recipe?Sign upfor our newsletter and get our favorite drink recipes of the moment in your inbox every month.,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
2019-04,"April 24, 2019,Fancy a bittersweet gin cocktail? Try this elegant classic.,Named for the French Olympic fencer popular in the early 20th century, the Lucien Gaudin is a classic gin cocktail in the neighborhood of theNegronibut with amplified flavors of bitter orange from the addition of dry vermouth and orange liqueur.,Share this recipe:,Combine all of the ingredients in a mixing glass with ice and stir to chill. Strain into a chilled glass and garnish.,,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 1 oz. London dry gin,½ oz. Campari,½ oz. Cointreau,½ oz. dry vermouth,Tools:mixing glass, barspoon, strainer,Glass:Nick and Nora,Garnish:orange twist"
2019-09,"September 18, 2019,“This nightcap plays with the unbeatable aromatic combination of sage and Averna, lightened up by the addition of cucumber,” says Proof bartender Karli Sandos of thisBoulevardierriff.,1½ oz. rye whiskey½ oz. Averna¾ oz. sweet vermouth2 dashes sage tincture3 cucumber slicesTools: mixing glass, muddler, barspoon, strainer, fine strainerGlass: coupeGarnish: disciplined sage leaf,In a mixing glass, muddle the cucumber slices. Add the remaining ingredients with ice and stir. Double strain into chilled coupe and garnish.,Sage Tincture:Chiffonade 12 sage leaves and add to 1 cup of high-proof spirit (Proof uses Plymouth Navy Strength gin). Rest for 18 to 24 hours, add one cup water and strain.,Karli Sandos,Proof, Des Moines, Iowa,Did you enjoy this recipe?Sign upfor our newsletter and get weekly recipes and articles in your inbox.,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
2019-09,"The Daily Refresher, Rochester, New York,Photo:John Valls,September 10, 2019,Fresh grapefruit juice adds tartness and balance to this vividly aromatic cocktail.,,Share this recipe:,Shake all the ingredients with ice until chilled, then strain into a chilled glass, and garnish.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, ¾ oz. gin,¾ oz. ginger syrup,¾ oz. fresh grapefruit juice,¾ oz. Cappelletti Aperitivo Americano,Tools:shaker, strainer,Glass:coupe,Garnish:grapefruit twist"
2019-02," Brooklyn, New York,Photo:Eric Medsker,February 21, 2019,Pineapple brightens this delicious take on a Banana Daiquiri from2019 Imbibe 75Person to Watch andTiki: Modern Tropical Cocktailsauthor, Shannon Mustipher.,Share this recipe:,Combine all of the ingredients with ice in a shaker and shake to chill. Strain into a chilled coupe and garnish.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 2 oz. white rum,¾ oz. fresh lime juice,¾ oz. banana liqueur (such as Giffard),½ oz. pineapple juice,Tools:shaker, strainer,Glass:coupe,Garnish:grated nutmeg"
