,Date,Ingredients
0,2020-01,"The Apple Martini, a.k.a. Appletini, received attention as the cosmopolitan drink of today’s woman, thanks toSex & The City.Sure, that was nice for the ladies, but it deserved more. I was determined to, a) come up with a recipe that both men and women would like, b) capture it’s real appeal as a great fall drink, and c) erase any memory of the name, Appletini, or its inference as a sugary sweet girl’s drink.  The recipe that literally took me longer than a year to come up with used Three Olives Sour Apple Vodka, which people loved.  Then Three Olives discontinued it in favor of cotton candy vodka (no comment).  Over the next ten years, I periodically tried to re-create the same flavor and intensity with different vodkas and variations.  Finally, I’ve come up with this almost identical one to the Three Olives experience:,Requirements:  Smirnoff Green Apple Vodka, standard vodka, apple schnapps, Cointreau, lemon juice.,Combine all ingredients in an ice-filled shaker.  Shake vigorously for 10-15 seconds until condensation forms on the shaker’s outside.  Strain into a cold martini glass.  An apple wedge may or may not be used as a garnish.,Comment:  Like the Cosmo, the fruitiness of the apple martini is a great combo with a fish or seafood dinner. It also suits the mood of fall’s apple-picking and apple pie season.  It’s refreshing outdoors in the summer too, especially when shaken to a frosty consistency.,November 27, 2021,January 23, 2021,December 7, 2019,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
1,2022-01,"If you’ve got a good bottle of London dry gin, theBOOMERANGreturns an expanded and more flavorful variation of agin martini.  It’s really just a couple of adjustments:  Proportions are slightly different and it adds maraschino liqueur (or juice from the maraschino cherry jar) to the mix.  When going for a martini, this gin variation is one to remember.,Required:Dry gin, dry vermouth, maraschino liqueur (juice), Angostura bitters, Lemon peel,Combine all liquid ingredients into an ice-filled shaker.  Shake vigorously and strain into a cocktail glass.  Garnish with a lemon twist or peel and serve straight up.,Comments:The “boomerang” effect, according to the Oxford dictionary, can describe any action that returns to the originator, often with negative consequences.  In the case of theBoomerangcocktail, it feels as though the karma has been good and positive consequences have come around.  It’s return invites you to kick back at home and put your feet up.  It’s sometimes served with rye whiskey, or sometimes it resembles aBronxcocktail;  but this recipe is neither.  This mix dates back further and is definitely a favorite.,Tags:angosturabittersboomerangboomerangcocktailbronxcocktailcocktailsdryvermouthgingincocktailsgindrinksginmartinilemonpeelmartinimartinirossitanquerayvermouth,February 20, 2020,February 16, 2021,June 23, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
2,2021-11,"This three-ingredient version of aCHOCOLATE MARTINIpasses the test for excellence. It can be consumed as a desert substitute, desert addition, or as an eggnog replacement during the holidays. There are a number of recipes floating around; but this one is simpler, easy to prepare, and satisfies on all fronts.  Let the holidays begin!,Requirements:Vanilla vodka, Godiva chocolate liqueur, creme de cacao (or Irish cream liqueur), chocolate powder,Rim a martini glass with chocolate powder after wetting it with water. Combine all liquid ingredients into an ice-filled shaker. Shake vigorously and strain into a martini glass.,Comments:Pictured above is Bailey’s Irish Cream, which substituted just fine for creme de cacao; though I’m sure the creme de cacao would have made it even better and been more loyal to the theme. If one prefers to make this less a desert and more a cocktail, use 1.5 oz. vanilla vodka instead of .75 oz. A nice touch which I remember from a Hershey Park restaurant is to crush a Hershey’s Kiss or piece of dark chocolate and sprinkle on top of the drink before serving. Happy Holidays!,Tags:baileysirishcreamchocolatechocolatecocktailschocolatemartinichristmascocktailscocktailscremedecacaogodivagodivachocolateliqueurhersheyscocoaholidaycocktailsirishcreamliqueurmartinithanksgivingcocktailsvanillavodka,August 7, 2020,August 24, 2021,July 8, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
3,2020-10,"DIRTY MARTINI(vodka) – Olive lovers enjoy splashing olive juice or brine into the martini mix, making the vodka “dirty”. If you’re on calorie watch, it adds only about 25 calories more to a dry vodka martini’s 125 calories. The ratio of olive juice to vodka depends on the individual’s taste.  My recommendation for a smooth balance is detailed below:,Requirements:Vodka, extra dry vermouth, olive juice or brine from jar, cocktail olives.,Line the inside of a shaker with extra dry vermouth by shaking vermouth with ice and pouring out both ice and vermouth. Refill shaker with clean ice and add vodka and olive juice. Shake vigorously until the shaker’s outside forms condensation. Pour into a martini glass and serve “up.” Garnish with 2-3 olives on a skewer.,Comments:Like the classic martini, use your best vodka. Unlike sugary fruit juices which can sometimes hide a “cheap” liquor, olive juice accents your existing vodka. My recipe calls for just a hint of vermouth, but some prefer no vermouth.  Others like up to .50 oz. vermouth.  Although the Dirty Martini is wonderful for any time or occasion, I particularly like it before a meal to clean the palate.  Also, for gin lovers, just replace the vodka recipe with dry gin for a dirty gin martini.,Tags:cocktailsdirtymartinidryvermouthketelonemartinirossoolivecocktailsolivejuicerussianstandardvodkatitosvodkavermouthvodkavodkacocktailsvodkadrinks,July 18, 2020,June 9, 2020,July 15, 2020,By way of introduction, I am Mark Schaefer with Nutritional Products International (nutricompany.com). We serve international and domestic manufacturers seeking to gain more distribution within the United States. Your brand recently caught my attention, so I am contacting you to discuss the possibility of expanding your distribution reach. We provide expertise in all areas of distribution, and our offerings include the following: * Rapid entry into the U.S. market. * Purchase Orders * FDA Regulatory Compliance * Active accounts with major U.S. distributors and retailers. * Our proven sales force has public relations, branding and marketing all under one roof. We maintain active business relationships with over 200,000 distribution outlets across the nation, and we have a direct line of contact with executive-level buyers. Our company has a proven history of initiating accounts and placing orders with major distribution outlets. Our history allows us to have intimate and unique relationships with key buyers across the United States thus giving your brand a fast track to market in a professional manner. Please contact me directly at 561-544-0719 or by replying, so we can discuss your brand further. Kind Regards, Mark Schaefer, Director Of Global Procurement, Nutritional Products International, 101 Plaza Real S, Boca Raton, FL 33432, Office: 561-544-0719,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
4,2020-05,"TheGINGER COSMO MARTINI is a light, refreshing version of aCosmo, with the additional  ginger flavoring.  The offset of Cointreau with ginger is an interesting combination.  The math of the two would be 1+1=3, in that its aftertaste is very summery and at times more like grapefruit than ginger. There are a few recipes for this drink floating around; but this is the simplest and best if you’ve either made ginger vodka yourself (see my 5/9/20 post about ginger-infused vodka) or purchased ginger vodka.  The recipe I present is from a book of cocktails of New Orleans titledBig Easy Cocktails, by Jimmy Bannos and John DeMers*.,Requirements: ginger-flavored vodka, Cointreau, lime juice, cranberry juice,Combine all ingredients in an ice-filled shaker.  Shake vigorously and strain into a chilled cocktail glass.,Comment:This recipe is a keeper for summertime reference if you already have ginger or ginger-infused vodka.,*Special thanks to Katie & Semmes Walmsley for the book.,Tags:bigeasycocktailscointreaucosmocranberryjuicegingergingercosmogingerinfusedvodkainfusedvodkainfusionketelonelimejuicemartinineworleanssmirnofftitos,March 1, 2022,May 25, 2022,March 15, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
5,2020-07,"ThePOMEGRANATE MARTINIis similar to a Cosmo, but more complex and probably stronger, while still going down easy — at least by this recipe. It’s had a wide appeal in my little circle of imbibers, even more-so than the Cosmo. Basically, the sweetness of pomegranate, orange liquor and citron vodka are stretched out by adding regular vodka (very unorthodox) and fresh lime juice for tartness. Yes, pomegranate juice has its share of sugar, but it’s also rich in fiber, vitamins, minerals and bioactive plant compounds that I convince myself has to count for something. The pomegranate martini might be a step or two more in the making than a Cosmo, but in my opinion, has more interesting layers.,Requirements:Vodka, Citron Vodka, Cointreau, pomegranate juice and fresh lime juice.,For a single serving, 1 part equals 3/4 oz. or one pony. For serving two, 1 part equals a 1.5 oz. jigger in place of the pony.,Pour all liquid ingredients into a cocktail shaker filled with ice. Shake vigorously for 10-15 seconds. Strain into a cold martini glass. Garnish with a lime slice or 2-3 pimento cocktail olives (see video demo above).,Comment:I had never garnished pomegranate martinis with anything. If using any garnish, the natural one would seem to be a lime wedge. But a friend insisted on green cocktail olives with her pomegranate martini and my wife and I found this to be an excellent combo. The saltiness of the olive is a good offset to the pomegranate, sort of like the friendliness of salt to chocolate.,Celebrities who prefer the Pomegranate Martini:Madonna, Charlize Theron,Tags:absolutevodkacocktailscointreaucosmojuiceketelonelimepomegranatepomegranatemartinirussianstandardtitosvodka,July 8, 2020,March 3, 2020,January 30, 2020,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
6,2022-04,"Before they drop, or before the next sudden wind squall blows them to smithereens, pick a few cherry blossoms off the tree to garnish aSAKURA MARTINI.  It’s a great way to celebrate spring’s cherry blossom season.  The Sakura Martini combines Japanese sake with dry gin and in so doing creates a softer martini than the standard gin & vermouth.  It was created by NYC’s bartender andBar Gotoowner, Kenta Goto.  It’s an ingenious mix of eastern & western spirits referencing Japan’s famous springtime cherry blossoms.,Requirements:dry sake, gin, maraschino liqueur (or juice), cherry blossom (or olive),Combine all ingredients in a mixing glass with ice and stir until chilled. Strain into a martini glass. Put a pinch of salt onto a cherry blossom and add to drink as garnish. If a cherry blossom isn’t available, add an olive instead.,Note:The recommended sake isJunmai Ginjoand recommended gin,Rutte Dry Gin. The juice from a maraschino cherry jar can substitute for the liqueur.,Tags:cherryblossomscocktailcocktailsjapanjapancocktailsjapanesesakejunmaiginjosakekentagotumaraschinoliqueurmartinimartinisnybarsnycruttedryginrutteginsakesakecocktailssakedrinkssakuramartinispringcocktailsspringdrinksspringmartinis,August 7, 2020,June 2, 2022,July 8, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
7,2021-11,"TheSMOKY MARTINIis the classic embellishment of aGin Martiniusing a small amount of Scotch in the place of vermouth.  In spare quantities, the Scotch whisky’s smoky notes blend beautifully with the gin’s botanicals. It’s an easy, no frills martini that should always show off your best gin and best Scotch.  Little touches, such as chilling the glass and twisting the lemon peel over the drink, make a difference.,Requirements:Gin (London dry gin preferred), blended or single-malt scotch, lemon peel,Combine the gin and Scotch in an ice-filled mixing glass and stir until well chilled.  Strain into a Martini glass.  Garnish with a lemon twist after squeezing it over the drink.,Comments:Some of the best 2021 London dry gins as rated by Liquor.com are:    Bombay Sapphire, Hayman’s, Highclere Castle, Tanqueray and Beefeater.  I enjoyed it using Hendrick’s.  You can experiment with the Scotch by trying a blend like Dewar’s or a smoky single malt Scotch like Laphroaig.  The Smoky Martini is appealing before a hearty meal, good for more formal business get-togethers, or simply any occasion where tasty & strong is more important than sweet & fruity.,Origin:Norman Mailer’s 1991 novelHarlot’s Ghostpresented a character based on a real-life 1950’s CIA agent who mixed a Martini by rinsing the ice in a shaker with Scotch before adding gin. Bartenders at the time of the novel picked up on the smoky gin recipe; although bartending legend, author and historian Dale DeGroff reportedly began serving the Smoky Martini in the 1970’s.,Tags:beefeaterbombaysapphireclassicdrinkscocktailsginginandscotchgincocktailsginmartinihaymanshendrickshighclerecastlelaphroaigmartiniscotchwhiskysmokymartinismokyscotchstrongcocktailsstrongdrinksstrongmartinistanqueraywhisky,December 12, 2019,January 20, 2020,December 29, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
8,2022-03,"The Mexican version of a martini is theTEQUINI, a tequila martini.  It parallels the typical vodka or gin martini by using dry vermouth, but adds orange bitters for an exotic “tang”. It also substitutes black olives for the more standard green olives. Instead of the rushed tequila shots of old, this is a way to savor a favorite silver tequila by sipping.,Requirements:Silver tequila (blanco), dry vermouth, orange bitters, black olives,Add dry vermouth to an ice-filled glass and stir to distribute.  The excess vermouth may then be poured out.  Add tequila and bitters to shaker and stir to chill.  Strain into a chilled cocktail glass and add 1-3 black olives for garnish.,Comments:With the explosion of high quality tequila in recent years, the mainstream’s perception of tequila as 1/3 the mix of a margarita or as straight up in the form of party shots should be rethought. My tequila preference is Herradura Silver (Blanco).  Most stir the Tequini, but there’s really no reason it can’t be shaken either.,,Tags:bittersblackolivesblancococktailcocktailsdryvermouthherraduramargaritaorangebittersregansorangebittersshotssilvertequilatequilatequilacocktailstequinivermouthwhitetequila,August 11, 2021,April 18, 2020,October 16, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
9,2022-01,"TheVESPERis considered byBon Appétitto be one of 24 classic cocktails you need to know how to make. It’s easy to make once the spirits are in hand. The shaken version is named for Vesper Lynd, the “Bond Girl” in Ian Fleming’s first 007 novel,Casino Royale. The Italian version withCocchi Americanoaperitif (instead ofLillet Blanc) is called aVESPA, and is stirred. I’m favoring the shaken version below:,Requirements:Dry gin, vodka, lemon twist, Lillet Blanc (or Cocchi Americano),Rim a chilled cocktail glass with the lemon twist. Pour liquid ingredients into an ice-filled shaker and shake vigorously. Strain into the glass. Squeeze a lemon twist over the drink and then drop into the mix.,Comment:I find the lemon twist to be an equal player in this cocktail and short of adding lemon juice, should always be included. If using a very botanical gin with heavy juniper and herbal qualities, I prefer less gin (.75-1 oz.). Attached below is the link to the James Bond scene when he proceeds to order and instruct how to make a Vesper. It’s fun to watch, but his proportions are very heavy on the gin, which departs from the standard mix. But Bond can do what he likes.,Tags:bondcocktailsbonddrinkscasinoroyalecocktailsgincocktailsgindrinksianflemingianflemmingjamesbondlemonjuicelemontwistlilletlilletblancmartinicocktailmartinisrussianstandardvespervespermartinivodkavodkacocktailsvodkadrinks,March 28, 2020,September 1, 2021,December 30, 2021,Follow:,Welcome to my blog!  Feel free to look around and leave me a comment if you find something interesting or helpful.,Enter your email address to subscribe to this blog and receive notifications of new posts by email.,Join 55 other subscribers,Email Address,Subscribe,More,Cointreau (orange liqueur)/Cranberry Juice/Daily Mix/Martini Monday/Vodka,Ginger Cosmo Martini,2 Jun, 2022,Bourbon/Daily Mix/Grapefruit Juice/Seasonal Sunday,Brown Derby,28 May, 2022,Daily Mix/Orange Juice/Rum/Tequila/Videos Demos,Golddigger,25 May, 2022,Daily Mix/Midori (melon)/Rum,Melon Daiquiri,21 May, 2022,Keet's Cocktails © 2022. All Rights Reserved.,Powered by- Designed with theHueman theme"
