Date,Ingredients
2022-03,i’ll never get tired of refreshing summer cocktail recipes. this strawberry gin rickey cocktail is a sweet and fruity cocktail with gin. you need to make a strawberry basil simple syrup and then combine it with the other ingredients. this is a tasty variation on a classic gin rickey to try this summer.
2022-04,"my blueberry lemon and cucumber gin mojitos combine sweet blueberries with refreshing lemon, cucumber and mint. a healthy dose of gin unites the flavour profiles of these late summer sippers and a splash of soda water adds just the right amount of sparkle. my gin mojitos are free of refined sugars and made with all natural ingredients — so the next time you’re craving a cooling summer cocktail, indulge yourself with a fresh twist on the classic mojito!"
2021-11,"a french gimlet is a sophisticated st germain cocktail with a spin on the classic! three ingredients (st germain, lime and gin) combine make this refreshing and chic drink."
2022-05,"hawaiian mimosas - this easy cocktail recipe has just three ingredients and will make you think you're on a beach in paradise. pineapple, rum, and champagne is all it takes to make this delicious cocktail!"
2022-01,"i have a yummy winter cocktail recipe for you today. the presentation of it is so cute too, perfect for a winter gathering with friends! it’s a creamy drink that tastes like smores complete with a roasted marshmallow on top! i like to serve with molasses gingersnap cookies! yield: 1author: my sweet savannahprint recipe campfire cocktail ingredients: mix ... read more about campfire cocktail recipe"
2020-12,"a magical color-changing galaxy lemonade recipe inspired by the new book, sanity & tallulah by molly brooks."
2022-02,"fact: a little bit of sparkling prosecco will make any drink a lot more festive. whip up one of these simple, bubbly cocktail recipes the next time you need to impress your girlfriends. or your in-laws. or heck, yourself. whether you need a crowd-pleasing punch for a new year’s eve bash or a..."
2022-05,"this lychee mojito is an exotic, floral take on the every day mojito. filled with lychees, strawberries, a splash of rose water and white rum."
2022-03,a frozen gin and tonic recipe to cool you down during the hot summer months!
2022-05,"looking for a strawberry mojito recipe for cachaça or dark rum? this classic cocktail is a drink with strawberries, mint and lime. while a mojito has always been an easy summer cocktail recipe, adding strawberries dials up the flavour. you can make also this cocktail with white rum or cachaça."
2022-04,"elderflower and gin make the perfect pairing for spring cocktails! light, floral, elegant - these three simple cocktail recipes are ideal for spring sipping."
2021-12,this easy cranberry moscow mule is the perfect holiday cocktail!
2021-12,"a festive fall cocktail that boasts all fresh flavors of autumn with a little apple, maple, and bourbon!"
2022-04,how to make the best old fashioned cocktail at home with bourbon like a professional mixologist at a fancy restaurant
2021-12,"this summery strawberry lime vodka smash is the perfect vodka cocktail to sip on a hot day! sweet, tart, refreshing and easy to make!"
2021-10,visit entertaining blog the sweetest occasion for the best summer cocktail recipes including this mango sunrise piña colada recipe perfect for summer parties!
2020-05,"the sex in the driveway cocktail recipe is a variation on the sex on the beach cocktail. it replaces the cranberry juice with blue curacao, so you get a drink that's blue in color and more orange in flavor."
2021-11,"mint strawberry moscow mule is the perfect summer cocktail. made with vodka and ginger beer, its super easy and our go to drink these days!"
2020-05,"frozen peach bellini cocktail – light, refreshing and super easy to make! this elegant cocktail slush will be a hit for any summer party. all you need is 3 ingredients and 5 minutes – s…"
2022-04,"elderflower and gin make the perfect pairing for spring cocktails! light, floral, elegant - these three simple cocktail recipes are ideal for spring sipping."
2020-08,"wine lovers, this moscow mule is for you!! sangria mexican mule is a tequila based version of the classic moscow mule along with red wine and berries. making it fruity, zingy and a guaranteed win."
2022-04,from prickly pear margaritas to lavender gin and tonics.
2020-08,"add the punch you need to your drink, and treat yourself to the pineapple mango rum punch."
2021-10,"it’s time to put away the rosé (see you next june) and retire those spritzy spiked seltzers you’ve been drinking all summer. fall is here, and with it, a new set of libations to warm you up from the inside out. think maple new york sours, cider spiked with bourbon and pumpkin..."
2021-11,"this raspberry gin fizz is the perfect spring or summer cocktail. it's not only beautiful, it's super tasty."
2022-04,love a delicious 3 ingredient drink recipe? this creamy root beer rum cocktail tastes like an adult version of a root beer float.
2021-04,"“i think this has all the flavours of spring, plus my favourite new ingredient to experiment with: blueberries!”"
2022-04,"for spring, i’m loving this rosemary grapefruit refresher. it’s so yummy and light, and it works for brunch or dinner time sipping. i just love how the..."
2022-02,"wine lovers, this moscow mule is for you!! sangria mexican mule is a tequila based version of the classic moscow mule along with red wine and berries. making it fruity, zingy and a guaranteed win."
2020-06,this peach rosé sangria is an easy to make summer cocktail that's perfect for a party or sipping on the patio on a hot day!
2021-05,"these two creamy cocktails have been inspired by bahlsen choco leibniz with a taste baileys, which we sent to our members in their october 2020 gin of the month boxes. each of these easy cocktail recipes combines chocolate, baileys and gin in the most delectable ways!"
2022-05,"when you want a refreshing caribbean beverage, enjoy a tall glass of my pink pirate rum punch. a hammock on a white sand beach is one of my favorite places"
2021-05,"this raspberry limoncello prosecco is the perfect sparkling summer cocktail to enjoy year round, made with fresh muddled raspberries, lemon, and your favorite wine."
2020-12,"this 7-ingredient blackberry basil mojito is refreshing, simple to make, and a lovely balance of tart and sweet. perfect for happy hours, entertaining, and making the most of all that beautiful summer produce."
2022-02,"it might be time for a vacation. lately i've been dreaming of a small island, someplace warm and tropical, where i can sit back and run my toes through the perfect white sand while sipping delicious cocktails. this colada sunrise is just the thing. to riff on a traditional piña colada, i added some mango juice and grenadine, giving it lots of fruity flavor and beautiful colors. best of all, it’s low-proof enough that you can probably enjoy more than one before moving onto your typical daiquiri, margarita, or other warm-weather drink."
2021-12,"fact: a little bit of sparkling prosecco will make any drink a lot more festive. whip up one of these simple, bubbly cocktail recipes the next time you need to impress your girlfriends. or your in-laws. or heck, yourself. whether you need a crowd-pleasing punch for a new year’s eve bash or a..."
2022-03,"with only 4 ingredients, this delicious blueberry margarita recipe comes together in a matter of minutes. simple, smooth, and sweet!"
2021-12,this christmas punch is the perfect drink to serve at any holiday gathering! make it with sparkling wine or alcohol-free!
2020-10,a black magic/galaxy cocktail that is shimmering and black. a mix between a lime daiquiri and lime martini.
2022-01,"this lemon drop martini with limoncello is one of the best lemon drop martini recipes! plus, i love a good limoncello cocktail recipe, you can never go wrong."
2020-02,several weeks ago i was contacted by a pr firm asking if bourbon & banter would be interested in having one of the mixologists that represented create
2021-12,apple cider sangria the perfect fall cocktail recipe.
2020-07,"a fresh, summer-friendly grapefruit cocktail perfect for outdoor parties"
2022-01,a peanut butter white russian is a delicious twist on a classic cocktail. it’s smooth and creamy and quite possibly the perfect after dinner treat.   while a cl…
2020-12,"hawaiian mimosas - this easy cocktail recipe has just three ingredients and will make you think you're on a beach in paradise. pineapple, rum, and champagne is all it takes to make this delicious cocktail!"
2020-02,"the dirty shirley temple is made with ginger ale, grenadine, maraschino cherries and vodka to turn a favorite childhood beverage into an adult one!"
2022-01,"this martini made from fresh blood orange juice, vodka and triple sec tastes just as delicious as it looks."
2022-01,this delicious salty dog cocktail is my favorite beach cocktail. the mix of grapefruit and vodka with a hint of lime and salt is so refreshing and tasty!
2019-01,transport yourself somewhere sunny and relaxing with this tropical fruit and coconut rum caribbean punch cocktail/
2021-10,"we compiled 20 of the best two-ingredient cocktails, featuring gin, tequila, vodka, whiskey, bourbon, scotch, rum & liqueur. get the recipes!"
2020-12,adapted from the berry bible. the simple syrup recipe in the notes is for a larger batch of simple syrup to keep on hand. it keeps for months in the fridge if you store it in a clean container. if you don't want to make the simple syrup (although it always great to have on hand) you can muddle in about 1 tablespoon (or to taste) of sugar instead.
2018-12,this light and refreshing gin cocktail is sweetened with pomegranate juice and spicy ginger beer. the ultimate crowd-pleasing cocktail recipe!
2021-04,"the long beach iced tea is like a long island iced tea, except you swap the cola for cranberry juice. it's a tart, refreshing drink. it's also madly strong, so if you want to make it more of a standard drink, just use an ounce and a half of one of the white liquors and leave the rest out."
2022-02,"this blackberry tequila spritzer is earthy, zesty and full of texture. it’s focused on the flavor of quality tequila, blackberries and a red wine float."
2019-12,"one sip of this and you won't want any other warm winter cocktail ever again. it's rich, creamy and loaded with bailey's. the perfect winter cocktail for snuggling up with on christmas eve while watching a christmas film."
2021-01,"what better way to celebrate bourbon heritage month than with a dozen classic cocktails. we start out with two favorites, neat and on the rocks. stop here?"
2019-07,"the best fresh raspberry mojito recipe - made with agave, fresh lime, mint and raspberries. minty refreshing mojitos with a touch of fresh raspberry make the perfect party cocktail. cheers!"
2022-03,mix up this easy adult pink lemonade recipe for your summer parties and barbecues and turn your favorite childhood drink into a summer cocktail!
2022-02,"this pineapple mango rum punch is a special recipe that will make you feel like you’re in the caribbean. this recipe is super easy to make, and perfect for parties and entertaining."
2021-03,"this strawberry basil margarita is a fun twist on the classic margarita. it's a sweet, tart and refreshing cocktail, perfect for celebrating."
2021-12,this christmas martini is easy to make and perfect for holiday festivities! it's a cranberry cocktail that's sweet tart and drinkable.
2021-12,"blending with ice makes this mango daiquiri the perfect summer cocktail. sweet and brimming with mango flavour, this colourful drink is also very easy to make."
2019-05,"the painkiller was first made in the british virgin islands with pusser’s navy rum. you may notice it on menus with the numbers #2, #3, and #4 after its name; that indicates how many ounces of rum are used. it’s essentially a boozier piña colada, and is sure to drown any and all sorrows."
2020-07,"electric lemonade is an easy party punch recipe! this lemonade pitcher cocktail has lemonade, blue curaçao, vodka and a natural sweetener syrup to make it as sweet as you want it. this is the perfect summer cocktail recipe!"
2020-04,"this earl grey blackberry bourbon cocktail is rich, warm and fruity. it’s the perfect cocktail to drink as summer turns into fall. get the recipe."
2021-01,"today i’ve listed out some delicious, natural, low sugar tequila recipes to help you celebrate cinco de mayo the right way!"
2019-04,"this icy peach bourbon cocktail is the perfect refreshing sip on a hot summer night! inspired by my trip to wiggly bridge distillery in york, maine."
2020-01,"it’s time to put away the rosé (see you next june) and retire those spritzy spiked seltzers you’ve been drinking all summer. fall is here, and with it, a new set of libations to warm you up from the inside out. think maple new york sours, cider spiked with bourbon and pumpkin..."
2020-10,thanksgiving bourbon pecan pie in a glass!
2019-05,the paloma is a mexican favorite cocktail. made with fresh grapefruit juice and silver tequila it's is arguably more refreshing than a margarita.
2022-02,"celebrate fall weather and flavors by mixing up a apple pie moscow mule! apple cider serves as the base of this cocktail. mix with ginger beer, vodka, a squeeze of lime and cinnamon simple syrup. sweet, but not too sweet, this autumnal twist on a classic moscow mule tastes like a slice of apple pie. whether you're serving yourself or a crowd, these apple pie moscow mules are flavor-filled, balanced, unique cocktail to serve at any gathering!"
2022-01,"this classic gin cocktail is perfectly balance with just the right amount of sweetness plus citrus.  with only 3 ingredients, it's also so easy to make!"
2021-04,"fresh raspberries and sweet raspberry jam, smashed together with rosemary, lemon, apple cider vinegar, vodka, and fizzy sparkling water."
2019-03,"this raspberry mojito recipe is an easy refreshing summer drink that combines sweet raspberries, rum, and mint for the perfect sit-back-and-relax drink."
2021-10,"this cranberry thyme spritz is this year's party punch. not only is it extra festive and pretty, but it's sweet, hinted lightly with flavors of thyme, spiked with a little vodka, and made with my very favorite, elderflower liquor. it's basically the perfect sweet holiday drink."
2021-04,"these grapefruit margaritas are a healthy spin on the classic cocktail that use just 4 ingredients. they're light, refreshing and have no added sugar!"
2021-05,this party worthy appletini is a four ingredient delicious sour apple cocktail that is made in less than two minutes.
2020-05,"strawberry lime vodka tonic is made with vodka, tonic water, freshly squeezed lime juice, fresh strawberries and just a pinch of sugar with a sugar rim and a lime slice garnish."
2020-04,cranberry orange gin fizz is a festive cocktail filled with holiday flavor! this easy drink recipe uses a naturally sweetened homemade cranberry sauce for a big punch of flavor.
2021-11,"blackberry bourbon smash is a blackberry cocktail created for those who love bourbon whiskey. a refreshing, fruity, twist on a timeless classic. mix up one tonight."
2020-01,"gin and tonic with grapefruit & rosemary summer cocktail recipe - great for brunch, parties, weekends and happy hour! click through to get the easy recipe!"
