Date,Ingredients
2013-06,"1oz Gin,1oz Gran Classico,1oz Cynar,1 dropper Urban Moonshine Maple Bitters,Flamed Orange Twist,Read more about my comparison of Bitter Orange Spiritshere."
2013-03,"1.5 Gin,.75 Cynar,.33 Campari,.5  Maurin Quina,2 dashes Peychaud’s Bitters,1 dash Regan’s Bitters"
2014-03,".5oz Absinthe,.5oz Genepy,.5oz Green Chartreuse,.5oz Yellow Chartreuse,.5oz Barrel Aged Genever,2 dashes Hair of the Dog Bitters,2 dashes Elixir Vegetal (optional),Lemon Twist,Star Anise,,I was lucky enough to have a bottle ofGreen VelvetAbsinthesent to me recently… it is definitely one of, if not the best, absinthe’s I’ve ever tried (I seriously don’t get paid for this… if only). Look for it in the states soon; in the meantime, if you’re interested, get some atabsinthes.com."
2013-09,"1.5oz Gin,.75oz Lillet Blanc,.75oz Orange Juice,2 dashes Angostura Bitters,Luxardo Cherry (optional)"
2013-02,".5oz Aperol,1.5oz Gin (Beefeater),.25oz Campari,.75oz Dry Vermouth (Dolin),.5oz Pisco (Encanto),1 barspoon Fernet-Branca"
2013-10,"1.5oz Fino Sherry,1.5oz Sweet Vermouth,2 dashes Orange Bitters,Lemon Twist,"
2013-03,"2oz VSOP Cognac,.5oz Cointreau,.25oz Lemon Juice,.25oz Simple Syrup,.25oz Angostura Bitters,The Criterion Bar still operates and even features a selection of cocktails from Engel’s book.,Another cocktail some may know,Sawyer, also features a hefty dose of bitters and will be featured soon."
2012-12,"1.5oz Gin,.75oz Yellow Chartreuse,1 dash Orange Bitters,Lemon twist"
2013-08,"2oz Rittenhouse Rye,Barspoon Agave Nectar,3 dashes Angostura Bitters,6 drops Bittermens Xocolatl Mole Bitters,20 drops Bittermens Hellfire Habanero Shrub,Orange Twist"
2013-12,"Equal parts (scale to desired size):,Averna Amaro,Campari,Cynar,Fernet Branca,Strega"
2013-08,"1oz Sweet Vermouth,1oz Campari,1oz Seltzer,Orange Twist"
2013-12,".75oz Cynar,.75oz Tawny Port,.5oz Templeton Rye,1 brspn Lapsang Souchong Demerara Syrup,3 dashes Angostura Bitters,6 drops Moroccan Bitters,Orange Twist,"
2013-08,"3oz Prosecco,2oz Aperol,1 splash Seltzer,Orange Twist,The Aperol Spritz remains popular both in its country of origin, Italy, as well as in Austria.,"
2013-12,".5oz Peat Monster,.5oz Rittenhouse Rye,1oz Dolin Genepy des Alpes,.75oz Apple Brandy,Smoked Applewood chips"
2013-09,"1oz Aperol,1oz Imbue Petal and Thorn,1oz St. Germain,2oz Prosecco,2 dashes each:,Dram Apothacary Citrus Medica,Bittermens Orange Cream Citrate,Orange Twist"
