Date,Ingredients,Source_tag
2022-05,"Should I make more smoothie recipes?

1/2 banana
1/2 cup frozen blueberries
1 tbsp peanut butter (or a spoonful, you choose)
1 cup coconut milk
1 scoop your favorite protein powder
Collagen powder

Blend & enjoy!
#joinjules #smoothie #smoothierecipes #easyrecipes #healthy #healthyrecipes #morningroutine #morningsmoothie #breakfast #healthysmoothierecipe #easysmoothierecipe #recipe #drink",Instagram
2022-05,"The weekend isn’t over, so enjoy it with some white Wine Sangria! I think it’s safe to say it’s officially Sangria season.

Here’s what you’ll need:

1 Bottle of Dry White Wine
1/2 Cup Brandy
2 Tbsp Maple Syrup, or simple syrup
1/4 Cup Peach Puree
Fresh peaches, pitted cherries and strawberries. 
Ice
Soda Water
Garnish: Mint & Peach Slice

In a pitcher add all ingredients and refrigerate for at least 2 hours. 
Add ice to pitcher and serve. 
To serve, add ice to a glass and fill 3/4 of the way full with sangria. 
Top with soda water and garnish. 

Xoxo, cheers!
#joinjules #whitewine #sangria #whitewinesangria #sangriawine #wine #summer #summerdrinks #cocktail #cocktailrecipes #drink #drinkrecipe #brandy #easyrecipes #batch #batchcocktails",Instagram
2022-05,"Let’s make the drink of the summer! Yes, it’s true they are saying the drink of the summer is the Dirty Shirley. But who is they anyway?

I personally believe blended drinks will be the winner this summer but who knows, maybe it is the dirty Shirley. What do you think the drink of the summer is?

Let’s first make a dirty Shirley to help us decide:
1 oz Grenadine, I prefer cherry juice instead but up to you!
2 oz Vodka
7-8 oz Lemon Lime Soda (y’all know I hate soda so I use @zevia when soda is needed!)
Ice
Garnish: cherry on top!

Add all ingredients into a glass filled with ice. 
Mix together to chill completely. 
Garnish & enjoy!

Xoxo, cheers
#joinjules #vodka #vodkacocktails #dirtyshirley #summer #summerdrinks #recipe #easyrecipe #drink #summerrecipes #weekend #weekendvibes #cherry #alcohol",Instagram
2022-05,"Another easy weekend cocktail, Peach Bourbon Slush! I’m on a blended kick, can’t you tell?

But seriously, I think blended drinks are so fun and easy to make and they don’t have to be super sugary like we associate most blended drinks (I’m using @beasthealth here). I also wanted to give my bourbon lovers some love with this one. Use what’s fresh and it tastes that much better!

Let’s get into it
1 Peach or Nectarine Chopped, Frozen is preferred 
2 oz Bourbon
1 oz Fresh Lemon Juice
2 tsp Honey
Optional: 1-2 sprigs Fresh Mint
Garnish: Lemon wheel and mint
Ice, if not using frozen fruit

In a blender add all ingredients, including mint if you’re using. 
Blend together until smooth. 
Pour into a glass and enjoy!

Xoxo, cheers!

Mashup is by: @veggibeats 🔥
#joinjules #bourbon #whiskey #bourbonwhiskey #summerdrinks #memorialday #cocktail #cocktailrecipes #drink #drinkrecipe #easyrecipe #weekend #blended",Instagram
2022-05,"Have you had an Irish coffee before? Better question, have you had an Irish coffee from the Buena Vista in San Francisco?

If you haven’t, this is your sign to do both! It truly is a sight to be seen visiting the Buena Vista and seeing the amount of Irish Coffees being made daily. 

A little history - the Buena Vista Cafe in San Francisco introduced the Irish coffee to the US back in 1952. Jack Koepoler, the then owner of the Buena Vista, was on an international flight home and was rerouted and served the “Irish Coffee"" created by Joe Sheridan at the Shannon Airport in Ireland. Determined to get this recipe right, Koepoler had to find the right whiskey, measurements and of course cream. The cream was aged for 48 hours and frothed perfectly to float to the top. Once the recipe was perfected, the rest is history. They still serve the same recipe to this day. It truly is an experience to be had.

Next time you’re in San Francisco, put this on your list!

Xoxo, cheers
#joinjules #sanfrancisco #buenavista #irishcoffee #coffee #whiskey #irishwhiskey #coffeerecipes #sf #sanfranciscolife #drink #drinkrecipe #cocktail #classiccocktails #imbibe #imbibegram",Instagram
2022-05,"Did someone say it’s already the weekend? You didn’t think I forgot about you all did you? Here’s recipe number 1 of 3 for this holiday weekend and let me tell you this one is easily my favorite!

Simple Ingredients so make sure to get everything you need to be sipping these all weekend (and summer) long. Doubling the recipe is encouraged (you’ll want to share and make more than one)

Here’s what you’ll need:
For 1:
1/2 Cup frozen strawberries 
1/2 Cup Frozen pineapple chunks
2 oz Vodka
1 oz Aperol
3/4 oz Lime Juice
1/2 oz simple syrup
Garnish: strawberries & fresh mint

In a blender add all ingredients and blend until smooth. 
Pour into your favorite glass, garnish & enjoy!

Xoxo, cheers!
#joinjules #vodka #frozendrink #strawberry #memorialdayweekend #memorialday #cocktail #drink #drinkrecipe #summerdrinks #recipe #easyrecipes #blended",Instagram
2022-05,"Looking for a signature cocktail? Try this Coconut Margarita, it’s been my go to since last summer. It hasn’t failed me yet!

I like to sub tequila for Mezcal here but really the choice is up to you! When using coconut make sure to use real coconut milk and not coconut cream. The coconut cream has so much sugar so just try to use the best coconut milk your local store has to offer!

3/4 oz fresh lime juice
1/2 oz Agave syrup
1 oz Coconut Milk
3/4 oz Cointreau
2 oz Mezcal
Ice
Garnish: Tajin, lime wheel, edible flowers

Add all ingredients into a cocktail shaker and shake. 
Strain into a glass filled with ice and rimmed with Tajin. 
Garnish & enjoy!

Xoxo, cheers 
#joinjules #margarita #margaritas #coconut #coconuts #summerdrinks #drink #drinkrecipe #recipes #cocktail #tequila #mezcal #easyrecipes #drinkstagram",Instagram
2022-05,"#ad I’m here in Los Angeles with @donjuliotequila at the Eeeeatscon festival and you know where to find me… at their cocktail bar! 

This year Tequila Don Julio is hosting a tasting bar alongside Mexico City restaurant @cicatriz.cdmx This event is happening today May 21st and tomorrow the 22nd so make sure to stop by for a delicious cocktail and join in on the fun.

There are three signature cocktails:

The Yoko: Tequila Don Julio Blanco, fresh grapefruit juice, Italian aperitif, & sparkling wine!

The Margareeeeta: Tequila Don Julio Blanco, Fresh lime juice, and jalapeño infused agave.

Blanco & soda

which would you try first? 
(Clearly I’m a margarita gal but will be trying the Yoko next!)

@donjuliotequila @infatuation 
#margarita #tequila #cocktail #cocktailbars #losangeles #eeeeeatscon #drinks #joinjules",Instagram
2022-05,"Looking for a foolproof cocktail to impress your guests this weekend? You need to make The Last Word

This is by far one of my favorite cocktails. It is the definition of balance. Equal parts for this one too! It truly is hard to mess this one up. Want to up your game? Sub the gin for Mezcal, total game changer. 

Here we go:
3/4 oz fresh lime juice, if it’s not fresh I don’t want it
3/4 oz gin
3/4 oz Maraschino liqueur
3/4 oz green chartreuse
Ice
Garnish: lime wheel or Luxardo cherry 

Add all ingredients into a cocktail shaker with ice. 
Shake and double strain into a chilled coupe glass. 
Garnish & enjoy the best cocktail ever. 

Xoxo, cheers!
#joinjules #classiccocktails #classicrecipe #recipe #easyrecipes #cocktails #gin #gincocktail #maraschino #chartreuse #drink #drinkrecipe",Instagram
2022-05,"This is my go to cocktail when I’m low on ingredients or just need an easy cocktail to make: The Whiskey Sour

This 4 ingredient cocktail is too good (it’s a classic for a reason) it has yet to let me down. But have you noticed a trend? There’s many similarities with the whiskey sour (the Daiquiri, the margarita) they all have similar measurements of spirit, citrus, and sweetness? See… once you know a classic you truly can use this formula for so many other cocktails! If you want something different, you can always try an Amaretto sour too 😉

Let’s get into this one:
2 oz Bourbon, or whiskey (All bourbon is whiskey but not all whiskey is bourbon)
3/4 oz Lemon Juice, freshly squeezed obvi
1/2 oz simple syrup
1 egg white
Angostura bitters
Ice
Garnish: citrus wheel or Luxardo cherries

In a cocktail shaker add bourbon, simple syrup, lemon juice, and egg white. 
Don’t add ice rather give it a dry shake, about 15 seconds. 
Add ice and shake again, about 30 seconds. 
Double strain into a rocks glass (you can add ice if you’d like) or a chilled coupe glass. 
Garnish & enjoy this classic cocktail!

Xoxo, cheers
#joinjules #classic #classiccocktails #cocktail #cocktailrecipes #drink #drinkrecipe #bourbon #whiskey #imbibegram #whiskeysour #eggwhite #recipe #easyrecipes",Instagram
